year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified,vote_percentage
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,659170,1182850,20210113,DEMOCRAT,55.727268884473936
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,504070,1182850,20210113,REPUBLICAN,42.614870862746756
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,9198,1182850,20210113,OTHER,0.7776133913852137
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,6669,1182850,20210113,OTHER,0.5638077524622733
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,1954,1182850,20210113,OTHER,0.16519423426469967
1976,ALABAMA,AL,1,63,41,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,1481,1182850,20210113,LIBERTARIAN,0.1252060700849643
1976,ALABAMA,AL,1,63,41,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,308,1182850,20210113,OTHER,0.026038804582153272
1976,ALASKA,AK,2,94,81,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,71555,123574,20210113,REPUBLICAN,57.90457539611893
1976,ALASKA,AK,2,94,81,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,44058,123574,20210113,DEMOCRAT,35.65313091750692
1976,ALASKA,AK,2,94,81,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,6785,123574,20210113,LIBERTARIAN,5.4906371890527135
1976,ALASKA,AK,2,94,81,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,1176,123574,20210113,OTHER,0.9516564973214431
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,418642,742719,20210113,REPUBLICAN,56.36613577948053
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,295602,742719,20210113,DEMOCRAT,39.79997818825154
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,19229,742719,20210113,OTHER,2.589000685319751
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,7647,742719,20210113,LIBERTARIAN,1.029595311281925
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,928,742719,20210113,OTHER,0.12494631213150599
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,564,742719,20210113,OTHER,0.07593719832130322
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,85,742719,20210113,OTHER,0.011444435917217683
1976,ARIZONA,AZ,4,86,61,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,22,742719,20210113,OTHER,0.002962089296221047
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,498604,767535,20210113,DEMOCRAT,64.96172812966185
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,267903,767535,20210113,REPUBLICAN,34.904336610056866
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,Unknown Candidate,INDEPENDENT,0.0,639,767535,20210113,OTHER,0.0832535324122027
1976,ARKANSAS,AR,5,71,42,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,389,767535,20210113,OTHER,0.0506817278690874
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,3882244,7803770,20210113,REPUBLICAN,49.748313955946934
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,3742284,7803770,20210113,DEMOCRAT,47.954821836112544
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,0.0,56388,7803770,20210113,OTHER,0.72257383290384
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,51098,7803770,20210113,OTHER,0.6547860841618859
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"WRIGHT, MARGARET",PEACE & FREEDOM,0.0,41731,7803770,20210113,OTHER,0.5347543559074652
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CAMEJO, PETER",INDEPENDENT,0.0,17259,7803770,20210113,OTHER,0.22116233564033794
1976,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HALL, GUS",INDEPENDENT,0.0,12766,7803770,20210113,OTHER,0.16358759932699196
1976,COLORADO,CO,8,84,62,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,584278,1081440,20210113,REPUBLICAN,54.02777777777777
1976,COLORADO,CO,8,84,62,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,460801,1081440,20210113,DEMOCRAT,42.60994599792869
1976,COLORADO,CO,8,84,62,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,26047,1081440,20210113,OTHER,2.4085478621097796
1976,COLORADO,CO,8,84,62,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,5338,1081440,20210113,LIBERTARIAN,0.49360112442669035
1976,COLORADO,CO,8,84,62,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,2886,1081440,20210113,OTHER,0.2668664003550821
1976,COLORADO,CO,8,84,62,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,1122,1081440,20210113,OTHER,0.10375055481580116
1976,COLORADO,CO,8,84,62,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,565,1081440,20210113,OTHER,0.05224515460866992
1976,COLORADO,CO,8,84,62,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,403,1081440,20210113,OTHER,0.03726512797751146
1976,CONNECTICUT,CT,9,16,1,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,719261,1386355,20210113,REPUBLICAN,51.881444507359234
1976,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,647895,1386355,20210113,DEMOCRAT,46.733700964038796
1976,CONNECTICUT,CT,9,16,1,US PRESIDENT,SCATTERING,Unknown Party,0.0,10309,1386355,20210113,OTHER,0.7436046322911519
1976,CONNECTICUT,CT,9,16,1,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,7101,1386355,20210113,OTHER,0.5122064694829246
1976,CONNECTICUT,CT,9,16,1,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,1789,1386355,20210113,OTHER,0.12904342682790482
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,122461,235642,20210113,DEMOCRAT,51.969088702353574
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,109780,235642,20210113,REPUBLICAN,46.587620203529085
1976,DELAWARE,DE,10,51,11,US PRESIDENT,Unknown Candidate,NO PARTY AFFILIATION,0.0,2432,235642,20210113,OTHER,1.032074078474975
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,645,235642,20210113,OTHER,0.27372030452975277
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,135,235642,20210113,OTHER,0.057290296296924996
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,103,235642,20210113,OTHER,0.043710374211727965
1976,DELAWARE,DE,10,51,11,US PRESIDENT,Unknown Candidate,SOCIALIST LABOR,0.0,86,235642,20210113,OTHER,0.03649604060396704
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,137818,168830,20210113,DEMOCRAT,81.63122667772316
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,27873,168830,20210113,REPUBLICAN,16.509506604276492
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,OTHER,Unknown Party,0.0,1656,168830,20210113,OTHER,0.9808683290884322
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,Unknown Candidate,INDEPENDENT,0.0,1195,168830,20210113,OTHER,0.7078125925487176
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,288,168830,20210113,OTHER,0.1705857963632056
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,1636000,3150631,20210113,DEMOCRAT,51.92610623078361
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,1469531,3150631,20210113,REPUBLICAN,46.64243448375897
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,23643,3150631,20210113,OTHER,0.7504211061212818
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,21325,3150631,20210113,OTHER,0.6768485424030932
1976,FLORIDA,FL,12,59,43,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,132,3150631,20210113,OTHER,0.004189636933046111
1976,GEORGIA,GA,13,58,44,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,979409,1463152,20210113,DEMOCRAT,66.93829485931741
1976,GEORGIA,GA,13,58,44,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,483743,1463152,20210113,REPUBLICAN,33.06170514068258
1976,HAWAII,HI,15,95,82,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,147375,291301,20210113,DEMOCRAT,50.59199934088795
1976,HAWAII,HI,15,95,82,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,140003,291301,20210113,REPUBLICAN,48.061283689379714
1976,HAWAII,HI,15,95,82,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,3923,291301,20210113,LIBERTARIAN,1.3467169697323387
1976,IDAHO,ID,16,82,63,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,204151,340932,20210113,REPUBLICAN,59.880269379231045
1976,IDAHO,ID,16,82,63,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,126549,340932,20210113,DEMOCRAT,37.11854563373341
1976,IDAHO,ID,16,82,63,US PRESIDENT,"MADDOX, LESTER",AMERICAN,0.0,5935,340932,20210113,OTHER,1.7408163504745815
1976,IDAHO,ID,16,82,63,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,3558,340932,20210113,LIBERTARIAN,1.0436098694167752
1976,IDAHO,ID,16,82,63,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,739,340932,20210113,OTHER,0.21675876714418127
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,2364269,4721282,20210113,REPUBLICAN,50.07684353529401
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,2271295,4721282,20210113,DEMOCRAT,48.107590268914244
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,55939,4721282,20210113,OTHER,1.184826494159849
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,9250,4721282,20210113,OTHER,0.1959213620368366
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,8057,4721282,20210113,LIBERTARIAN,0.17065280150603163
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,4417,4721282,20210113,OTHER,0.09355509795856294
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,3615,4721282,20210113,OTHER,0.07656818635277453
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,0.0,2422,4721282,20210113,OTHER,0.05129962582196954
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,2018,4721282,20210113,OTHER,0.04274262795571203
1976,INDIANA,IN,18,32,22,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,1183958,2220362,20210113,REPUBLICAN,53.322746471070936
1976,INDIANA,IN,18,32,22,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,1014714,2220362,20210113,DEMOCRAT,45.70038579294727
1976,INDIANA,IN,18,32,22,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,14048,2220362,20210113,OTHER,0.632689624484656
1976,INDIANA,IN,18,32,22,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,5695,2220362,20210113,OTHER,0.2564897075341768
1976,INDIANA,IN,18,32,22,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,1947,2220362,20210113,OTHER,0.08768840396295739
1976,IOWA,IA,19,42,31,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,632864,1279303,20210113,REPUBLICAN,49.469437654722924
1976,IOWA,IA,19,42,31,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,619931,1279303,20210113,DEMOCRAT,48.458496540694426
1976,IOWA,IA,19,42,31,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,20057,1279303,20210113,OTHER,1.5678068448209688
1976,IOWA,IA,19,42,31,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN PARTY OF IOWA,0.0,3041,1279303,20210113,OTHER,0.23770756419706668
